id,name,year,description,alcohol_by_volume,oak,soil,min_serve_temperature,max_serve_temperature,fun_facts,aromas,taste,fruit,earth,body,acid,tannins,alcohol,sweetness,classic_pairings,label_image,bottle_image,vineyard,appearance,region,farming,lifestyle_image,profile,tasting_tip,appearance_description,region_description
2,Goodchild Vineyard,2014,"Having grown up among California vines, Goodchild owner Louis Lucas long ago became known for his ability to dish the dirt on every detail about his vineyards—and hence became known affectionately as The Dirtman.  He spends plenty of time getting his hands dirty, too. Working vine by vine on his Santa Maria Valley estate, he snips of the unripe grape bunches to give the remaining fruit optimal sun exposure, achieving a full-flavored, perfectly balanced wine.",14.2,100% French oak,Various,,,"Most white wines from Burgundy, France, are made of Chardonnay grapes; however, labels typically list the winemaker, village of origin or vineyard instead of the grape variety.","Dried yellow apple, Bosc pear, limestone, cream, vanilla","",,,6,3,0,,1,"A rich, oaked Chardonnay pairs with dishes of equal richness. The wine’s full body stands up to creamy dishes, while its buttery notes especially complement the succulence of pork.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/2/bottle_images/goodchild.png,Goodchild Vineyard,White,"Santa Maria Valley, California, USA",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/2/lifestyle_images/wine-goodchild.jpg,"Goodchild Vineyard Chardonnay is rich and buttery from its fermentation and aging in oak barrels. Full-bodied and lush, the wine has aromas of cream and vanilla accenting the intense fruit flavors.","The wine’s vanilla flavor is a result of aging it in oak barrels. The more toasted the barrels on the inside, the stronger the vanilla flavor.",Straw,"The Santa Maria Valley is a cool region straddling Santa Barbara and San Luis Obispo counties. Chilly, foggy air from the Paci c Ocean rolls into the vineyards, ensuring a slow, even ripening of the grapes for full, concentrated flavors. Goodchild’s ancient- seabed soil lends a delicate minerality that balances the wine’s fruitiness."
4,Charlie's Block,2014,"Grown on 200 acres of organically farmed vines, the fruit for this Cabernet comes from Charlie’s Block, a section of the award-winning Redwood Valley Vineyard in Mendocino County. The property has been in the same family since 1955 (they’re descendants of Italian grape growers), with a dedication to high-quality Cabernet starting in the 1970s. The grapes are picked by hand to ensure that no classic, ripe California Cabernet flavors are lost from vineyard to bottle.",13.6,100% French oak,Various,,,"Cabernet Sauvignon is a hybrid of Sauvignon Blanc and Cabernet Franc, born in Bordeaux in the 1600s. It’s the world’s second most widely planted grape, behind Merlot.","Black currants, black plums, tobacco, leather","",,,5,4,7,,0,"Cabernet Sauvignon loves rich meat dishes, as its bold flavors complement the food. This wine, however, won’t overpower meals with spice and will draw out and elevate the flavors of vegetables.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/4/bottle_images/charlies-block.png,Redwood Valley Vineyard,Red,"Redwood Valley, Mendocino County, California, USA",Certified organic,https://d1zo0hr4fmj52a.cloudfront.net/wine/4/lifestyle_images/wine-charlies-block.jpg,"Charlie’s Block Cabernet Sauvignon is a robust wine with full fruit flavors, typical of California. The drying tannins cut rich foods, then prime your palate for another bite of food.","Sip the wine. Now, swirl the wine vigorously to allow contact with the air, then taste again. The tannins will feel smoother as a result of the aeration.",Garnet,"Redwood Valley is a small region surrounded by pine forests in Mendocino County, about two hours north of San Francisco. The higher elevation exposes the grapes to brighter sunlight, while the cool air slows the ripening process to allow a long season of flavor development. Mendocino has more organically farmed vineyard acres than any other California county."
5,Morgantini Vineyard,2014,"Richard and Joan Morgantini have grown Pinot Noir at their family vineyard for several years. They’re brave, dedicated souls, as the vines require diligent care, the grape skins are thin and susceptible to disease and, once bottled, Pinot can improve with age, decline, then improve again. Pinot is unpredictable but worth the effort, especially in Monterey, where it tends to have bold, juicy flavors. That and the hint of spiciness from oak aging make ideal attributes for food pairing.",14.4,100% French oak,Various,,,"Pinot Noir—Napoleon’s favorite grape—has been grown in Burgundy, France, for almost 2,000 years. It’s been in California only since the 1800s.","Wild berries, rose petals, tea leaves, baking spices","",,,5,3,4,,0,"Pinot always loves pork, and California Pinots have the fruity richness to stand up to spicy fare, too. But the traditional wine pairing with mushrooms is a sure thing, as it enhances the earthy notes in each. ",,https://d1zo0hr4fmj52a.cloudfront.net/wine/5/bottle_images/morgantini.png,Morgantini Vineyard,Red,"Monterey, California, USA",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/5/lifestyle_images/wine-morgantini.jpg,"Morgantini Vineyard Pinot Noir is light in color, but looks are deceiving. The wine has lush fruit  flavors, accented by spicy tones and a subtle earthy note from oak aging.","Pinot, more than any other grape, expresses its environment. Though all Californian, Pinots from Monterey, Sonoma and Santa Barbara taste very different.",Light ruby,"Monterey County, about two hours south of San Francisco, inhabits California’s most picturesque stretch of coastline. It has an ideal Pinot Noir-growing climate, as the bright sunshine ripens the grapes while cool Paci c breezes slow down the process, preserving and enhancing the grapes’ bright, fruity flavors that pair so well with food."
3,Tierra Alta Vineyard,2014,"Winemaker Kris Curran rocketed to fame as the maker of Sea Smoke, the coveted Pinot Noir in the film Sideways—but Grenache Blanc is her true passion. Tierra Alta Vineyard occupies the steepest slope in its region, giving the land drainage that stresses the vines for water, and thus smaller, more intensely flavored grapes. Kris, who consulted Blue Apron on this wine, thins the grape crop even further, by hand, to produce even smaller batches of more powerfully flavored grapes.",14.2,100% French oak,Various,,,"Grenache Blanc is a mutation of Spain’s popular red Garnacha grape, which traveled over the Pyrenees and found a home in France’s Rhône Valley.","Dried apricot, peach, candied lemon, honey","",,,8,5,0,,0,"Grenache Blanc is a hearty wine, yet it complements the light flavors of summer as well as the richer dishes of winter. Its honey flavor brings out the sweetness of any season’s vegetables.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/3/bottle_images/tierra-alta.png,Tierra Alta Vineyard,White,"Ballard Canyon, California, USA",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/3/lifestyle_images/wine-tierra-alta.jpg,"Tierra Alta Grenache Blanc is a full-bodied wine, but it’s not so rich that it will overwhelm salads and seafood. Its stone-fruit and citrus flavors complement both light and heavier foods.","Body is the weight or viscosity of the wine—how full it feels in your mouth. Higher alcohol also enhances the waxy, fuller-bodied sensation.",Pale,"Ballard Canyon is a tiny region, just 7,800 acres, located in Santa Barbara’s Santa Ynez Valley. What makes this place special is its steep, rocky vineyards that force the vines to reach deep into the limestone-rich ground in search of water. Rare in California, limestone contains calcium carbonate, which grapevines love."
14,Marius Roux,2015,"Die Fonteine farm has been in the Roux family for three generations, and Chenin Blanc has been a staple of the farm since the very beginning. Brothers and owners Marius and Japie Roux continuously walk the rows during the growing season, cutting back the vines’ crop load to ensure the remaining grapes have concentrated tropical flavors. This wine’s body helps it stand up to rich foods, while its brightness makes it a delicious match for light seafood and salad dishes.",13.2,Stainless steel (no oak),Various,,,"The Cape of Good Hope is rough, rocky terrain— perfect for Chenin Blanc vines, which are able to produce high yields and concentrated flavors in such an environment.","","",,,6,8,0,,0,"Chenin Blanc’s minerality lifts the herbal notes of aromatic cuisines—we especially love it with Indian food. The more fragrant the dish, the better a match it is for Chenin Blanc.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/14/bottle_images/marius-roux.png,Die Fonteine Farm,White,"Stellenbosch, South Africa",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/14/lifestyle_images/my-ba-single_marius.jpg,"Marius Roux Chenin Blanc is a bright, crisp wine, balanced by its creamy, rich texture. This is the classic style of Chenin Blanc, whether it’s made in South Africa or its native France.","A wine’s creamy texture is a result of leaving the dead yeast cells in the tank, after fermentation. This is called “lees contact.”",Pale yellow,"Stellenbosch, east of Cape Town, is South Africa’s most prestigious wine region. Die Fonteine farm, next to Helderberg Mountain, sees warm summers tempered by cool breezes o  the Atlantic Ocean that slow ripening and preserve the grapes’ zestiness. The rocky soil imparts the wines’ minerality, a character that enlivens your taste buds with each sip."
13,Gash Vineyards,2014,"Cabernet thrives almost anywhere, but not everyone can grow high-quality grapes. Yet John and Lisa Gash mastered it. They quickly went from home winemakers to award-winning growers, racking up gold medals in several competitions. Their Cabernet grapes develop full, fruity flavors—and with minimal environmental impact. An eco-conscious drip system waters the vines, and native cover crops in the rows build up the soil nutrients. This is a Cab with heart.",14.8,French and American oak,Various,,,"Cabernet is among the slowest varieties to ripen on the vine. The longer the grapes hang into the fall, the more flavor they develop.","","",,,8,5,6,,0,"While this Cabernet has the richness to pair with red meat, the wine has enough freshness and savory flavors to match with straightforward chicken dishes, as well as spicy fare.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/13/bottle_images/gash.png,Gash Vineyards,Red,"Lodi, California",Certified sustainable,https://d1zo0hr4fmj52a.cloudfront.net/wine/13/lifestyle_images/my-ba-single_gash.jpg,"Gash Vineyards Cabernet Sauvignon is a full-bodied, rich wine with concentrated fruit flavors. The oak aging lends a smoky, toasty note, making this a classic-style California Cab.",Note how the wine creates a drying sensation on the sides of your mouth. These are the tannins priming your palate for your next sip.,Dark purple,"East of San Francisco, Lodi is consistently warm and dry—and suitable for all grape varieties, demonstrated ever since viticulture began here in 1850. (Some vines are 130 years old, still producing grapes!) Cabernet grows especially well here, as nighttime winds o  San Francisco Bay temper the climate for a long, even season of flavor development in the grapes."
1,Ventana Vineyards,2013,"Ventana owners Bruce Sterten, Sabrine Sterten and Randy Pura are committed to sustainable viticulture to reduce any negative environmental impact on their region—all the more reason why Blue Apron sought them out to collaborate on this fresh, vibrant Sauvignon Blanc. The grapes were fermented in climate-controlled stainless-steel tanks not only to preserve the overt fruit  flavors but also the appealing minerality imparted by the vineyard’s soil.",14.4,Stainless steel (no oak),Various,,,"Sauvignon Blanc was introduced to California in the 1880s using cuttings from Bordeaux’s famed Château d’Yquem, considered to be the world’s most prestigious winery.","Lemon, herbs, papaya, crushed stone","",,,7,6,1,,1,Any dish that includes lots of fresh herbs will get an aromatic lift from the wine’s bright acidity and grassy notes. Sauvignon Blanc also makes dishes with goat cheese taste creamier and richer. ,,https://d1zo0hr4fmj52a.cloudfront.net/wine/1/bottle_images/ventana.png,Ventana Vineyards,White,"Arroyo Seco, California, USA",Certified organic,https://d1zo0hr4fmj52a.cloudfront.net/wine/1/lifestyle_images/wine-ventana.jpg,"Ventana Sauvignon Blanc is dry and crisp, and its citrus and tropical notes add extra dimensions of flavor to light, vegetable and seafood dishes. Each sip cleanses and refreshes your palate.","Sauvignon Blanc’s herbaceous scent and taste come from pyrazine, a flavor compound found in green bell peppers.",Pale straw,"Located in the Salinas Valley, near Monterey Bay, Ventana’s vineyards bene t from the foggy climate created by the cold waters of the bay. Each morning the sun warms the valley before cooler afternoon temperatures roll in and slow the grapes’ buildup of sugars. This ultimately gives the wine more intense flavors, not just more alcohol."
15,Marco Flacco,2014,"Renowned winemaker Marco Flacco’s calling card is achieving maximum flavor with Pinot Grigio, presenting it in a style even more food friendly than most anyone thought possible. He let the skins, seeds and juice macerate for a while, as if this were a red wine (normally, Pinot Grigio grapes are pressed right after picking).  This technique of increasing skin-contact time, before pressing, imparted light tannins, more body and more flavor to this fresh, crisp Pinot Grigio.",12.0,Stainless steel (no oak),Various,,,"Although rare, sometimes a Pinot Grigio vine, which is a mutation of Pinot Noir, can mutate back into Pinot Noir.","","",,,5,7,3,,0,"Pinot Grigio is one of the most food-friendly wines: Its crisp acidity draws out the flavors of fresh vegetables and also cuts the richness of fatty seafood, such as cat sh.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/15/bottle_images/marco-flacco.png,Various,White,"Delle Venezie IGT, Italy",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/15/lifestyle_images/my-ba-single_flacco.jpg,"Marco Flacco Pinot Grigio is a vibrant wine, with bright acidity balanced by a hint of bitterness from the tannins. The wine has more body and flavor than your typical Pinot Grigio.","Pinot Grigio grape skins are purple, not green. That’s why some Pinot Grigios, including this one, look slightly gray or pink in the glass.",Pale straw,"Delle Venezie IGT is the classification for wines made using grapes grown in the general area surrounding Venice (Veneto, Friuli and Alto Adige are a few of the distinct regions within Delle Venezie). Most of the wine from here is Pinot Grigio, as the grape grows exceptionally well on the sunny plains. Temperatures cool at night, retaining the grapes’ zingy freshness."
6,Mustard Field,2014,"Spanish colonizers and Franciscan missionaries introduced grapes to Paso Robles in the late 1700s. Much later to the party: Vista Serrano Vineyard, established in 2002. Yet this small, family-run property is already turning heads as if they were old pros. While most Paso reds are full and lush, this property yields a style of Zin that shows the variety’s signature fruit intensity balanced by a delightful freshness—and is exceptionally food friendly.",14.8,100% French Oak,Various,,,"Zinfandel was often touted as indigenous to the United States, but DNA testing in 2001 revealed its true origin: Croatia. There its name is Crljenak Kaštelanski.","","",,,6,2,4,,0,"The richer the dish, the better it pairs with Zinfandel. The wine’s full, bright fruit balances the bold  flavors of meats, yet the wine gets a lift from spicy dishes or acidic foods such as tomatoes. ",,https://d1zo0hr4fmj52a.cloudfront.net/wine/6/bottle_images/mustard-field.png,Vista Serrano Vineyard,Red,"Paso Robles, California",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/6/lifestyle_images/wine-mustard-field1.jpg,"Mustard Field Zinfandel is made in a fresh, vibrant style—it’s not cloying or overly oaky, so it’s versatile for pairing. The warm, spicy aromas complement the ripe-berry and -cherry flavors.","A wine’s tannins come from the grape skins and seeds, as well as from oak-barrel aging. Tannins can be bitter, but they balance a wine’s sweetness.",Ruby,"Paso Robles is a vast, desert-like region that sits inland from the Paci c Ocean halfway between San Francisco and Los Angeles. The area experiences hot days and 30-degree temperature drops at night—the perfect climate for Zinfandel vines. Many Paso Robles plots boast vines 50 to 100 years old, and still grow full crops of intensely flavored grapes."
16,Dupuis Ludovic,2014,"Domaine Les Mardelles is located in the commune of Chatillon Sur Cher in Touraine, France, in the Loire Valley. Dupuis Ludovic, the owner and vineyard manager, planted Sauvignon Blanc grapes in the vineyard in 1995, and has been farming this family-owned property ever since. The wine is fermented at low temperatures in stainless-steel tanks to preserve the fresh-fruit qualities of the grape and maintain acidity.",12.5,Stainless steel (no oak),Sand and flinty clay,,,The Loire Valley has been a winemaking center in France since the Romans introduced grapes to the region in the 1st century.,"","",,,6,7,0,,0,"Drinking Sauvignon Blanc with a meal is like adding a squeeze of fresh lemon juice to fried calamari to brighten the flavor. Sauvignon Blanc’s high acidity works in the same way: It helps cut any richness and makes flavors more vibrant. It also pairs nicely with dishes that are seasoned with fresh herbs such as parsley, cilantro or basil.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/16/bottle_images/dupuis-ludovic.png,Domaine Les Mardelles,White,"Touraine, France",Conventional,,"This wine is a typical French-style Sauvignon Blanc, dry and crisp with herbal aromas and a bright acidity.",Many white wines are served at 40 degrees Fahrenheit. That may dull the aromas. Give your wine time to warm up—aromas may become more pronounced.,Light yellow with green edges,"The Loire River keeps the valley more temperate than areas to the north and south, which is why the region’s viticulture is concentrated on its banks. Hot summers are tempered by cool Atlantic breezes, which create an ideal climate for grape growing, resulting in many famous wines from this area."
17,San Simeon,2014,"Centuries ago, friars planted vines in what is now Sarmento Ranch Vineyard when it was part of Mexico's Soledad Mission Ranch. When the government secularized the mission in 1835 and divided up its land, part of the church's holdings went to the Sarmento family, which  still owns the parcel today. It wasn't until the 1960s  that winemaking caught on in the region, and the notoriously fickle Pinot Noir grapes were found to excel  in this cooler region.
",14.8,French oak (30% new),Alluvial soil and sandy loam,,,"Pinot Noir is rarely blended with other grapes, but Champagne-grown Pinot Noir, Pinot Meunier and Chardonnay grapes are combined to make traditional Champagne.","","",,,8,6,6,,0,"Pinot Noir is one of the most flexible and food-friendly grape varieties because it is fruit-forward and low in big tannins, so it goes well with meat, fish and many vegetarian meals. And as you’ll see with our dishes below that contain oranges, the Pinot’s deep fruit notes complement the citrus flavors.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/17/bottle_images/san-simeon.png,Sarmento Ranch Vineyard,Red,"Santa Lucia Highlands, California",Conventional,,"This wine is a classic fruit-forward Pinot Noir, typical of a New World style, with a full body and soft tannins.",Go ahead and drink—what are you waiting for? The majority of wines should be consumed one to two years after bottling.,Ruby with magenta edges,"Because of its location in the Santa Lucia Highlands, the Sarmento Ranch Vineyard sits above the fog that envelops the Salinas River Valley each morning. The vineyard receives plenty of late morning sunlight and is cooled in the evening by the ocean breezes that crest the Santa Lucia mountain range."
27,Cubic,2014,"Cubic Cabernet Sauvignon is complex but not complicated. Grown in small- and medium-size vineyards in Chile, the grapes are cooled by Antarctic winds and irrigated with Andean runoff. Chilean wine expert Cristián Pino Belmar considers it alchemy. “Every decision you make while transforming the grapes into wine delivers a different result.” For this wine, the temperature was carefully controlled during fermentation to allow the fruity flavors to shine.",13.3,40% French and American oak,Various,,,Wine was introduced to Chile in the mid-16th Century by Catholic Spanish settlers who needed wine for communion.,,"",,,8,6,7,,0,"Bold Cabernet Sauvignon typically pairs with, meaty dishes. But this wine’s complex aromas and subtle tobacco note overlap and enhance the flavors of robust vegetarian meals, too.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/27/bottle_images/cubic.png,Various,Red,"Valle Central, Chile",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/27/lifestyle_images/Oct_Alt_Cubic_v2_Cropped.jpg,"Cubic Cabernet Sauvignon is a full-bodied, fruit-forward wine with remarkably elegant and complex aromas.","Oak aging softens Cabernet Sauvignon’s typically astringent tannins while imparting warm aromas. Smell this wine’s rich tobacco notes, a result of this practice.",Dark ruby with magenta edges,"Valle Central, near Santiago, is Chile’s most productive and famous wine region, with the soil, sunlight, temperature and humidity creating the ideal climate for world-class wines. Dry summers and the isolation Chile’s vineyards get from the Paci c and the Andes have mostly spared them from diseases, allowing producers to reduce their dependence on chemicals."
21,Los Alamos View Vineyards,2014,"If you’re a Santa Barbara winemaker with a run of high scores from the critics, you keep your hot streak alive using grapes from the Los Alamos and Valley View vineyards. Both have grown some of the region’s highest-quality grapes since Royce Lewellen and Louis Lucas planted their land 25 years ago. Louis, affectionately known as The Dirtman, carefully manages each vine’s number of bunches to ensure that, come harvest, the grapes are full of light, fresh flavors.",14.2,Stainless steel (no oak),Botella loam and Santa Ynez clay loam,,,"In the 1970s, Robert Mondavi rebranded his then-untrendy Sauvignon Blanc as Fumé Blanc and saw wild success. (The Pouilly-Fumé wines of France are all Sauvignon Blanc.)",,"",,,6,6,0,,0,Sauvignon Blanc is always a sure thing with seafood since its zestiness acts like a squeeze of lemon over the dish. That same brightness also makes dishes with cheese taste creamier.,,https://d1zo0hr4fmj52a.cloudfront.net/wine/21/bottle_images/los-alamos-view.png,Los Alamos View Vineyard,White,"Santa Barbara County, California",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/21/lifestyle_images/8290-my-ba-los-alamos-comp-bottle.jpg,"Los Alamos View Sauvignon Blanc is the best of both worlds. It has the citrus notes typical of cooler climates, and the tropical flavors more often found in warm-weather whites.","Acidity in wine makes the sides of your mouth salivate. After sipping this wine, open your mouth for 10 seconds, and you’ll quickly detect this.",Pale straw yellow,"Santa Barbara County is carved up into several smaller regions, each with microclimates and soils that suit specific red and white grape varieties. All of Santa Barbara, however, experiences warm days and cool nights from Pacific Ocean winds blowing inland. This results in the grapes developing vibrant, fruity flavors that carry over to the wines."
32,Die Fonteine,2015,"French Protestant settlers made the first wines in cool, sunny Stellenbosch in the late 1600s, but the largest region in what is today South Africa needed 300 years to gain global recognition. Among the believers was farmer Wally Roux, who started growing grapes for nearby wineries 50 years ago. Brothers Marius and Japie are now in charge, cultivating the grapes for this crisp, zesty Sauvignon Blanc on the farm their dad, Wally, established.",13.1,Stainless steel (no oak),Various,,,"Constantia, a highly coveted dessert wine during the eighteenth and nineteenth centuries, was the first South African wine to gain international fame.",,"",,,3,6,0,0,0,"Sauvignon Blanc’s acidity acts like a squeeze of fresh lemon, cutting through buttery meals, balancing the saltiness of fried food and emphasizing lemony notes.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/32/bottle_images/die-fontein-sillo.png,Die Fonteine Farm,White,"Stellenbosch, South Africa",Conventional,,"Die Fonteine Sauvignon Blanc is a dry, cool-climate white that displays the classic herbal quality of this grape varietal.",The secret to Sauvignon Blanc’s appeal is its natural acidity—the citrus-like feeling and flavor that make your mouth water for another sip or forkful of food.,Pale straw gold with apricot edges,"Die Fonteine farm backs into Helderberg Mountain, a few miles from False Bay. The vineyard has fairly warm summers and is cooled by sea breezes off the Atlantic Ocean. The mineral-rich content of soil in this area—known as Stellenbosch Winelands—is perceptible in the wine."
31,Babcock,2014,"California’s Santa Rita Hills, home to the Babcock Vineyard, is Mecca for Pinot Noir lovers. Despite accolades from across the industry, owner Bryan Babcock is modest. “Pinot is rewardingly mysterious,” he says, “but you never feel like you make a perfect one.” We think Pinot is one of the most flexible reds around, pairing with a wide variety of meat, fish and vegetarian meals in a way other reds can’t. Babcock puts it more bluntly: “If you have a corkscrew, any dish will do.”",14.5,Neutral oak,Sandy loam,,,"Pinot Noir is one of the first, or “founder,” varieties of wine grapes. Two thousand years old, it is a direct ancestor of many other grapes, including Syrah and Chardonnay.",,"",,,5,5,5,,0,"Fruit can dress up winter pork dishes and add contrast to earthy stews. We’re using this fruit-forward Pinot the same way. This wine’s ripe-berry flavors can also enhance sweet ingredients, like a maple glaze. ",,https://d1zo0hr4fmj52a.cloudfront.net/wine/31/bottle_images/babcock-sillo.png,Babcock Vineyard,Red,"Santa Rita Hills, California",Conventional,,"Babcock Pinot Noir is a fruit-forward, cool-climate Pinot with notes of toasted coconut, a result of aging in oak for 12 months.","California Pinots are often fruitier and more full-bodied than their Old World counterparts, and without the strong tannins of other red grapes, making them easy to enjoy.",Garnet,"Babcock’s wines get their character from the fertile soil and the region’s cool climate. This vineyard is located in the Santa Rita Hills, near the Santa Ynez Mountains, in California’s Central Coast. Here, the winters are mild, the summers are chilly, and the Pacific Ocean’s influence is marginal compared with its effect on the rest of the state."
34,Hungry Hollow,2014,"Behind every great wine is a guy on a tractor. At Ordway’s Valley Foothill Vineyard in Mendocino, California, vineyard manager Casey Hartlip is that guy, in charge of 180 acres of dirt. “These soils are 60 inches deep,” he says. “They’re well-balanced and easy to work with.” Gewürztraminer, an Alsatian white that’s very fragrant, does particularly well in this area. “To keep the aromatics popping, we don’t give them too much sunlight,” he says. “They are truly exceptional.”",14.4,Stainless steel (no oak),Pinole loam,,,"Renowned for its ancient redwoods, Mendocino is also recognized today for its wine grapes: Of the 17,000 acres of vineyards in the county, 25 percent of them grow certified organic grapes.",,"",,,5,4,0,,4,"Gewürztraminer can stand in for the Caribbean’s traditional drink, rum: Both balance out jerk spices with sweetness. Gewürtz’s aromatics also complement the spices in Indian and other Asian cuisines.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/34/bottle_images/Ordways-sillo.png,Ordway's Valley Foothill Vineyard,White,"Anderson Valley, California",Conventional,,Hungry Hollow Gewürztraminer is a perfumed white with a crisp finish that keeps the wine from being cloying.,"Want to ace a blind taste? Aromas of lychees are a giveaway when you’re tasting Gewürztraminer. If you’ve never tried this fruit, here’s a great excuse to seek it out.",Pale straw yellow,"This area is the sweet spot of Mendocino County, where the climate is the most moderate—not too close to or far away from the Pacific Ocean—and consistent for producing crisp, fragrant wines. Since the days are sunny and warm and the nights are foggy and cool, grapes have time to mature slowly and develop incredible aromatics."
35,Lloyd McQueen,2013,"When Irish dairy farmer Lloyd McQueen immigrated to California in the 1930s, he didn’t expect to join the region’s burgeoning wine industry. But he quickly found his niche growing Carignane and Zinfandel grapes in the heart of Suisun Valley. These viticultural roots are strong, as McQueen’s grandson and great-grandson, Howard and Brian Babcock, currently farm his Morrison Lane Vineyard, home to this bold, earthy Petite Sirah.",13.6,French oak,Sycamore loam with volcanic,,,"Ninety percent of the Petite Sirah grown in the U.S. is actually a French blending grape called Durif, which is now rarely found in its native country.",,"",,,8,5,7,,0,"Hearty wines should be paired with foods of equal weight, which can be diverse in terms of flavor. Enjoy this wine with rich steakhouse staples or Mexican dishes with layers of spice. ",,https://d1zo0hr4fmj52a.cloudfront.net/wine/35/bottle_images/lloyd-mcqueen-petite-sirah_sillo.png,Morrison Lane Vineyard,Red,"Suisun Valley, California",Conventional,,"Lloyd McQueen Petite Sirah is a concentrated, inky red with a full body and earthy flavors.",Full-bodied wines with intense flavors and bold tannins often need air to allow their flavors to develop. Open up and decant 30 minutes before drinking.,Dark ruby with magenta edges,"Suisun Valley’s Mediterranean climate and fertile soil make it ideal for growing more than 20 varieties of grapes. While Suisun was the second AVA (American Viticultural Area) to be designated in California, it isn’t as famous as its neighbor Napa, making the wines more affordable and turning it into a hot spot for those in the know."
42,Giuseppe Caviola,2014,"In the late 1980s, Giuseppe Caviola was an amateur winemaker working out of his parents’ garage. He was discovered and mentored by Elio Altare, a trailblazer in modern Italian winemaking, and then went on to set up shop as a consultant, helping other producers improve their wine quality through a greater focus on scientific analysis in the vineyard and the winery. Caviola spent several years working in multiple Italian regions, and accumulated enough experience and knowledge to set up his own estate about 15 years ago. All that research and analysis led him to embrace a noninterventionist philosophy that lets the vines “speak” for themselves, so as to realize flavorful, versatile, approachable wines such as this blend of several red varieties he consulted on for Blue Apron. ",13.8,100% French oak,Clay,,,"In the 1970s, several quality-minded producers coined the term Super Tuscan to distinguish their wines from the “vino da tavola” (table wine) designation required on their labels.",,"",,,8,6,7,,0,"What makes Italian wines special is their trademark backbone of acidity, so Tuscan reds such as this always pair well with tomato-based fare. But this wine also has the power and tannic structure to stand tall aside its signature pairing, a charred piece of red meat.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/42/bottle_images/Guiseppe_bottle.png,Ca’ Viola,Red,"Toscana (Tuscany), Italy",Conventional,,"So-called Super Tuscans, red blends that incorporate or consist solely of grape varieties not indigenous to Italy, are beloved for their broad appeal due to their power and overt fruit flavors. But they’re great food-pairing wines, since they retain trademark, Tuscan-style acidity that matches the classic dishes of the region. ","Tannins are the naturally occurring compounds in wine called polyphenols. They lend a drying feeling, but they also enhance the wine's other flavors.",Garnet with purple edges,"While Tuscany is best known for its prowess with the Sangiovese grape, in recent years winemakers have had resounding success with non-native grapes, particularly Merlot, Cabernet Sauvignon and Syrah—some or all of which are blended with each other, with Sangiovese or not at all. These wines, which display fruit power as well as zesty acidity, are among the best reds to pair with Italian cuisine. Appropriately, they’re known as Super Tuscans. "
